idx,agent,size,slots,lp_norm,cost,reward,prestige,score
234,IND,S,s_344,0.799418236634621,1.3495636774759658,0.4174883014338472,0.058023270534615166,0.1170941452189515
204,IND,S,s_63,0.8061742546814475,1.3546306910110855,0.41878545689883795,0.0577530298127421,0.11701219627421315
202,IND,S,s_234,0.8066364796822134,1.3549773597616601,0.418874204098985,0.05773454081271147,0.11700658959128511
217,IND,S,s_53,0.8066364796822134,1.3549773597616601,0.418874204098985,0.05773454081271147,0.11700658959128511
213,IND,S,s_50,0.8090871497211556,1.3568153622908667,0.4193447327464619,0.05763651401115378,0.11697686352747036
185,IND,S,s_66,0.8095765594547679,1.357182419591076,0.41943869941531553,0.057616937621809285,0.1169709270999866
192,IND,S,s_123,0.8099431867385849,1.3574573900539386,0.41950909185380825,0.057602272530456605,0.1169664799953736
226,IND,S,s_124,0.8109909576682367,1.3582432182511774,0.4197102638723015,0.057560361693270536,0.1169537707750286
206,IND,S,s_287,0.8110349273924938,1.3582761955443703,0.4197187060593588,0.057558602904300246,0.11695323743238818
178,IND,S,s_40,0.8139653935606568,1.3604740451704926,0.4202813555636461,0.05744138425757373,0.11691769155189938
232,IND,S,s_178,0.8139653935606568,1.3604740451704926,0.4202813555636461,0.05744138425757373,0.11691769155189938
209,IND,S,s_76,0.8144351746860075,1.3608263810145056,0.42037155353971345,0.057422593012559704,0.11691199321491842
182,IND,S,s_328,0.814944567847085,1.3612084258853137,0.42046935702664034,0.0574022172861166,0.11690581439305651
187,IND,S,s_23,0.814944567847085,1.3612084258853137,0.42046935702664034,0.0574022172861166,0.11690581439305651
201,IND,S,s_3,0.814944567847085,1.3612084258853137,0.42046935702664034,0.0574022172861166,0.11690581439305651
229,IND,S,s_330,0.814944567847085,1.3612084258853137,0.42046935702664034,0.0574022172861166,0.11690581439305651
214,IND,S,s_113,0.8155051334640655,1.3616288500980491,0.4205769856251006,0.05737979466143738,0.11689901486107629
219,IND,S,s_93,0.8155195483294014,1.3616396612470512,0.4205797532792451,0.057379218066823945,0.11689884001207579
205,IND,S,s_122,0.8178399626410442,1.363379971980783,0.42102527282708047,0.057286401494358236,0.11687069392026887
193,IND,S,s_9,0.8178891672404074,1.3634168754303055,0.4210347201101583,0.05728443331038371,0.11687009707979777
228,IND,S,s_15,0.8178891672404074,1.3634168754303055,0.4210347201101583,0.05728443331038371,0.11687009707979777
231,IND,S,s_329,0.8178891672404074,1.3634168754303055,0.4210347201101583,0.05728443331038371,0.11687009707979777
220,IND,S,s_101,0.8184112745297965,1.3638084558973473,0.421134964709721,0.057263549018808146,0.11686376403848424
196,IND,S,s_107,0.8188364743924081,1.364127355794306,0.4212166030833424,0.057246541024303675,0.11685860646196465
188,IND,S,s_235,0.8252981539070827,1.368973615430312,0.42245724555015995,0.056988073843716694,0.11678022777591095
186,IND,S,s_312,0.825793577455484,1.369345183091613,0.4225523668714529,0.056968256901780645,0.11677421840223713
180,IND,S,s_4,0.8297743970583931,1.3723307977937949,0.4233166842352115,0.05680902411766428,0.11672593197621055
197,IND,S,s_302,0.8297743970583931,1.3723307977937949,0.4233166842352115,0.05680902411766428,0.11672593197621055
200,IND,S,s_36,0.8297743970583931,1.3723307977937949,0.4233166842352115,0.05680902411766428,0.11672593197621055
212,IND,S,s_28,0.8297743970583931,1.3723307977937949,0.4233166842352115,0.05680902411766428,0.11672593197621055
235,IND,S,s_8,0.8297743970583931,1.3723307977937949,0.4233166842352115,0.05680902411766428,0.11672593197621055
221,IND,S,s_88,0.8302893634006143,1.3727170225504608,0.42341555777291795,0.05678842546397543,0.11671968555294338
216,IND,S,s_80,0.8303258603355701,1.3727443952516776,0.42342256518442944,0.0567869655865772,0.11671924285351823
211,IND,S,s_112,0.8304812526202129,1.3728609394651596,0.42345240050308086,0.05678074989519149,0.11671735798085231
230,IND,S,s_108,0.8315889032043593,1.3736916774032695,0.42366506941523696,0.05673644387182563,0.116703922434073
215,IND,S,s_232,0.8332767194368945,1.374957539577671,0.4239891301318838,0.05666893122252422,0.11668344961144142
